term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	False	True	jaccard	1,1,1,1	0.4205	0.2465	0.1446	0.0604	0.2705	0.2615	0.8902	0.6362
tfidf	False	True	jaccard	1,3,4,1	0.4356	0.2769	0.1459	0.0629	0.2861	0.2743	0.8899	0.6445
tfidf	False	True	jaccard	1,1,1,4	0.3846	0.2202	0.1233	0.0431	0.2427	0.2348	0.8893	0.6190
tfidf	False	True	dice	1,1,1,1	0.4205	0.2465	0.1446	0.0604	0.2705	0.2615	0.8902	0.6362
tfidf	False	True	dice	1,3,4,1	0.4356	0.2769	0.1459	0.0629	0.2861	0.2743	0.8899	0.6445
tfidf	False	True	dice	1,1,1,4	0.3846	0.2202	0.1233	0.0431	0.2427	0.2348	0.8893	0.6190
tfidf	False	True	overlap	1,1,1,1	0.4698	0.2904	0.1764	0.0706	0.3122	0.2990	0.8907	0.6497
tfidf	False	True	overlap	1,3,4,1	0.4816	0.2958	0.1757	0.0732	0.3177	0.3059	0.8898	0.6570
tfidf	False	True	overlap	1,1,1,4	0.4181	0.2574	0.1401	0.0435	0.2719	0.2618	0.8878	0.6271
tfidf	True	False	cosine	1,1,1,1	0.4323	0.2531	0.1614	0.0691	0.2823	0.2772	0.9304	0.6613
tfidf	True	False	cosine	1,3,4,1	0.4682	0.2583	0.1681	0.0723	0.2982	0.2913	0.9312	0.6714
tfidf	True	False	cosine	1,1,1,4	0.4045	0.2358	0.1448	0.0646	0.2617	0.2606	0.9259	0.6399
tfidf	True	False	jaccard	1,1,1,1	0.4576	0.2675	0.1643	0.0650	0.2965	0.2937	0.9313	0.6668
tfidf	True	False	jaccard	1,3,4,1	0.4710	0.2717	0.1690	0.0696	0.3039	0.2969	0.9321	0.6777
tfidf	True	False	jaccard	1,1,1,4	0.4268	0.2395	0.1463	0.0607	0.2709	0.2704	0.9285	0.6475
tfidf	True	False	dice	1,1,1,1	0.4576	0.2675	0.1643	0.0650	0.2965	0.2937	0.9313	0.6668
tfidf	True	False	dice	1,3,4,1	0.4710	0.2717	0.1690	0.0696	0.3039	0.2969	0.9321	0.6777
tfidf	True	False	dice	1,1,1,4	0.4268	0.2395	0.1463	0.0607	0.2709	0.2704	0.9285	0.6475
tfidf	True	False	overlap	1,1,1,1	0.4776	0.3081	0.1859	0.0731	0.3238	0.3142	0.9304	0.6767
tfidf	True	False	overlap	1,3,4,1	0.5080	0.3127	0.1774	0.0766	0.3327	0.3190	0.9328	0.6895
tfidf	True	False	overlap	1,1,1,4	0.4328	0.2701	0.1591	0.0673	0.2874	0.2858	0.9247	0.6518
tfidf	True	True	cosine	1,1,1,1	0.4308	0.2527	0.1651	0.0699	0.2828	0.2792	0.9310	0.6666
tfidf	True	True	cosine	1,3,4,1	0.4724	0.2614	0.1717	0.0738	0.3018	0.2946	0.9322	0.6769
tfidf	True	True	cosine	1,1,1,4	0.3944	0.2305	0.1475	0.0645	0.2575	0.2584	0.9261	0.6442
tfidf	True	True	jaccard	1,1,1,1	0.4579	0.2700	0.1674	0.0657	0.2984	0.2956	0.9317	0.6718
tfidf	True	True	jaccard	1,3,4,1	0.4731	0.2735	0.1721	0.0716	0.3062	0.3025	0.9327	0.6833
tfidf	True	True	jaccard	1,1,1,4	0.4273	0.2423	0.1482	0.0609	0.2726	0.2713	0.9293	0.6523
tfidf	True	True	dice	1,1,1,1	0.4579	0.2700	0.1674	0.0657	0.2984	0.2956	0.9317	0.6718
tfidf	True	True	dice	1,3,4,1	0.4731	0.2735	0.1721	0.0716	0.3062	0.3025	0.9327	0.6833
tfidf	True	True	dice	1,1,1,4	0.4273	0.2423	0.1482	0.0609	0.2726	0.2713	0.9293	0.6523
tfidf	True	True	overlap	1,1,1,1	0.4611	0.3049	0.1913	0.0765	0.3191	0.3125	0.9319	0.6829
tfidf	True	True	overlap	1,3,4,1	0.5164	0.3153	0.1803	0.0781	0.3373	0.3228	0.9331	0.6945
tfidf	True	True	overlap	1,1,1,4	0.4363	0.2752	0.1627	0.0685	0.2914	0.2884	0.9264	0.6589
boolean	False	False	cosine	1,1,1,1	0.1895	0.0490	0.0277	0.0061	0.0888	0.1065	0.7708	0.4015
boolean	False	False	cosine	1,3,4,1	0.2123	0.0579	0.0296	0.0058	0.0999	0.1178	0.7666	0.4074
